Date	Day	Month	Year	Sehri-Time	Iftar-Time
03-Apr-22	3	4	2022	05:07	18:39
04-Apr-22	4	4	2022	05:07	18:39
05-Apr-22	5	4	2022	05:06	18:39
06-Apr-22	6	4	2022	05:05	18:39
07-Apr-22	7	4	2022	05:05	18:39
08-Apr-22	8	4	2022	05:04	18:39
09-Apr-22	9	4	2022	05:03	18:39
10-Apr-22	10	4	2022	05:03	18:39
11-Apr-22	11	4	2022	05:02	18:39
12-Apr-22	12	4	2022	05:01	18:39
13-Apr-22	13	4	2022	05:00	18:39
14-Apr-22	14	4	2022	05:00	18:39
15-Apr-22	15	4	2022	04:59	18:40
16-Apr-22	16	4	2022	04:58	18:40
17-Apr-22	17	4	2022	04:58	18:40
18-Apr-22	18	4	2022	04:57	18:40
19-Apr-22	19	4	2022	04:56	18:40
20-Apr-22	20	4	2022	04:56	18:40
21-Apr-22	21	4	2022	04:55	18:40
22-Apr-22	22	4	2022	04:55	18:40
23-Apr-22	23	4	2022	04:54	18:40
24-Apr-22	24	4	2022	04:53	18:41
25-Apr-22	25	4	2022	04:53	18:41
26-Apr-22	26	4	2022	04:52	18:41
27-Apr-22	27	4	2022	04:52	18:41
28-Apr-22	28	4	2022	04:51	18:41
29-Apr-22	29	4	2022	04:50	18:41
30-Apr-22	30	4	2022	04:50	18:42
01-May-22	1	5	2022	04:49	18:42
02-May-22	2	5	2022	04:49	18:42
